ruca,great_circle_distance,origin,destination
Rural,84.49145023504398,"32.094646,-103.193924","30.896467,-102.907245"
Rural,72.5321145137175,"40.801246,-99.521933","40.198509,-100.652259"
Rural,24.079570918510644,"45.33135,-92.1713","45.099265,-92.54037"
Rural,39.03142603908143,"44.055769,-95.195219","44.32867,-94.505377"
Rural,89.60153810322409,"36.32006,-90.60206","35.206593,-89.782769"
Rural,68.93666366375385,"45.795342,-92.693513","44.810249,-92.918589"
Rural,70.71732350692882,"36.662062,-98.562972","36.811269,-97.299451"
Rural,89.73929336769486,"40.63615,-91.16737","40.706735,-89.45744"
Rural,66.52421589575641,"45.567282,-120.275127","46.255889,-119.307921"
Rural,61.422117563341345,"44.24804,-99.45316","44.333032,-98.216923"
Rural,65.76560611387798,"41.907816,-111.379691","41.068775,-111.979699"
Rural,51.08674237336884,"41.82549,-111.32243","41.269099,-111.973089"
Rural,58.904936767118535,"37.144556,-91.357626","36.755453,-90.408412"
Rural,68.54957163258035,"36.245927,-118.693138","35.309042,-119.095525"
Rural,89.62201073533168,"40.36004,-92.02434","39.996786,-90.394535"
Rural,26.39321011133565,"45.68997,-87.52596","45.80811,-88.046546"
Rural,66.1251774563772,"37.536283,-101.904726","37.986189,-100.836248"
Rural,79.54548277093507,"47.726972,-111.6938","46.593553,-111.990866"
Rural,67.41752733490681,"36.587497,-78.564584","35.63636,-78.834131"
Rural,84.721914354649,"46.007415,-96.359342","44.887106,-97.069882"
Rural,82.27960817097595,"36.038868,-121.244009","36.734798,-120.043616"
Rural,89.37727699502747,"33.62064,-100.32289","33.504536,-101.86902"
Rural,53.48242193505217,"35.471657,-76.495091","35.606931,-77.43172"
Rural,76.38800868931382,"62.34415,-150.36545","61.310372,-149.535209"
Rural,71.5065236265197,"40.413793,-116.581275","40.953359,-117.745898"
Rural,86.99555957053025,"37.99176,-120.26166","39.187631,-119.757575"
Rural,69.55252253279461,"40.176356,-101.010823","39.334282,-101.728322"
Rural,88.4982142885535,"43.930616,-73.58854","42.65593,-73.76097"
Rural,66.58318681963958,"45.92139,-101.34958","46.791788,-100.750279"
Rural,74.83227160053333,"46.920016,-97.557491","47.791326,-96.607845"
Rural,84.80425269660633,"44.484482,-111.333103","45.694564,-111.042191"
Rural,30.520099633063467,"37.009799,-83.349418","36.858282,-83.868509"
Rural,76.66866814772209,"42.23556,-98.91204","42.02376,-97.44331"
Rural,79.93985579088817,"44.780103,-119.914072","45.850378,-119.289105"
Rural,81.04134381404246,"38.110393,-95.188557","39.037619,-94.269708"
Rural,84.28119789960617,"42.20186,-98.749451","42.906833,-97.398033"
Rural,49.676749391337424,"38.919145,-123.540572","38.931208,-122.616521"
Rural,58.07006031547118,"44.911775,-99.073204","44.333032,-98.216923"
Rural,62.39495670117012,"39.207405,-88.273197","39.04963,-87.126965"
Rural,50.458833766071066,"39.114381,-103.900144","38.837655,-104.769498"
Rural,86.79520497485116,"44.771108,-121.334786","45.454923,-122.828051"
Rural,72.9739928073212,"35.698493,-75.772775","35.833971,-77.063675"
Rural,62.70903039322007,"36.61509,-77.927891","37.514562,-77.776028"
Rural,88.3383249515858,"40.503252,-98.255757","40.73566,-96.599404"
Rural,81.43223904223625,"45.492879,-121.598308","44.878715,-123.025563"
Rural,88.13711282281207,"43.65577,-110.71826","43.198152,-112.357836"
Rural,55.096740407819155,"42.96525,-92.19962","43.146006,-93.26255"
Rural,84.03681516760922,"42.195922,-74.137242","41.67871,-72.657352"
Rural,50.5156423142255,"36.06652,-81.87039","35.335767,-81.898947"
Rural,83.09021614666064,"44.640224,-91.831869","45.219817,-93.320243"
Rural,83.16643692118348,"42.16186,-112.65387","41.068775,-111.979699"
Rural,67.80835886461382,"34.86065,-90.59233","34.361915,-89.565339"
Rural,61.27569823257119,"42.48054,-91.59182","42.735909,-90.43788"
Rural,35.36705757487468,"47.710353,-93.612694","47.201771,-93.526986"
Rural,74.91148892650854,"40.779808,-77.117558","40.296209,-75.840679"
Rural,58.46936738065766,"43.083854,-95.625042","42.4343,-96.363804"
Rural,56.968843583017474,"37.011357,-83.4553","36.190611,-83.357156"
Rural,84.73808615048011,"37.998206,-95.622106","37.142948,-94.513054"
Rural,39.54858091102153,"45.743009,-110.225294","45.694564,-111.042191"
Rural,53.305488379389395,"44.022637,-90.130552","43.879795,-91.183661"
Rural,88.69770218306557,"40.153899,-95.127221","38.949785,-95.704481"
Rural,87.51516666704461,"42.06973,-97.96923","42.531713,-96.374643"
Rural,31.201520703609997,"42.917037,-78.126525","42.908748,-78.743013"
Rural,63.63647645182207,"42.281733,-94.542337","41.597146,-93.714016"
Rural,65.45815060706586,"34.903001,-96.099488","35.835606,-96.303922"
Rural,30.528153926359316,"41.61023,-96.503281","41.232045,-96.198601"
Rural,78.38585089962511,"43.183395,-94.177422","44.097942,-93.249733"
Rural,57.82901190811667,"31.44379,-93.4574","31.273777,-92.497688"
Rural,85.10134522099546,"42.297229,-78.649654","43.192244,-77.497393"
Rural,71.30776931885345,"39.827894,-97.650902","39.019865,-96.819727"
Rural,36.20516872168913,"37.073525,-88.144971","36.720973,-88.629732"
Rural,72.88105129764006,"38.966806,-87.384354","39.06171,-88.736433"
Rural,88.64110866772182,"33.148807,-91.310103","32.522714,-92.642823"
