zip,ruca,city,state_name,population,county,median_household_income,latitude,longitude
67442,Suburban,Falun,Kansas,364,Saline,"$42,404",38.69098,-97.787364
67443,Suburban,Galva,Kansas,"1,945",McPherson,"$85,183",38.38195,-97.53754
67444,Rural,Geneseo,Kansas,494,Ellsworth,"$43,250",38.51612,-98.15672
67445,Rural,Glasco,Kansas,589,Cloud,"$39,720",39.36117,-97.83825
67446,Suburban,Glen Elder,Kansas,703,Mitchell,"$61,429",39.501034,-98.302257
67447,Rural,Green,Kansas,288,Clay,,39.480323,-97.01489
67448,Suburban,Gypsum,Kansas,973,Saline,"$73,333",38.710913,-97.492119
67449,Rural,Herington,Kansas,"2,809",Morris,"$58,750",38.67112,-96.94251
67450,Suburban,Holyrood,Kansas,528,Ellsworth,"$64,688",38.613667,-98.420938
67451,Suburban,Hope,Kansas,"1,051",Dickinson,"$47,292",38.69028,-97.07668
67452,Suburban,Hunter,Kansas,364,Mitchell,"$79,688",39.23418,-98.39728
67454,Suburban,Kanopolis,Kansas,756,Ellsworth,"$48,462",38.696847,-98.138181
67455,Rural,Lincoln,Kansas,"1,710",Lincoln,"$48,929",39.102718,-98.214909
67456,Suburban,Lindsborg,Kansas,"4,419",McPherson,"$58,628",38.497407,-97.628859
67457,Rural,Little River,Kansas,661,Rice,"$51,705",38.39807,-98.012
67458,Rural,Longford,Kansas,471,Clay,"$53,657",39.183428,-97.249882
67459,Suburban,Lorraine,Kansas,378,Ellsworth,"$64,250",38.601673,-98.273284
67460,Urban,Mcpherson,Kansas,"16,097",McPherson,"$63,389",38.376302,-97.670184
67464,Rural,Marquette,Kansas,"1,057",McPherson,"$57,778",38.55556,-97.83366
67466,Rural,Miltonvale,Kansas,795,Cloud,"$57,159",39.349959,-97.454812
67467,Rural,Minneapolis,Kansas,"2,583",Ottawa,"$54,703",39.141097,-97.650674
67468,Rural,Morganville,Kansas,328,Clay,"$51,364",39.46639,-97.20197
67470,Suburban,New Cambria,Kansas,486,Saline,"$71,250",38.905381,-97.515705
67473,Rural,Osborne,Kansas,"1,847",Osborne,"$57,500",39.385738,-98.795417
67474,Rural,Portis,Kansas,254,Smith,"$56,161",39.531927,-98.738629
67475,Rural,Ramona,Kansas,118,Marion,"$68,000",38.59749,-97.062601
67476,Suburban,Roxbury,Kansas,14,McPherson,,38.391722,-97.648402
67478,Suburban,Simpson,Kansas,82,Mitchell,"$55,486",39.385112,-97.932764
67480,Rural,Solomon,Kansas,"1,707",Ottawa,"$71,750",38.910885,-97.339456
67481,Rural,Sylvan Grove,Kansas,712,Lincoln,"$43,393",38.969795,-98.435528
67482,Suburban,Talmage,Kansas,114,Dickinson,,39.025,-97.26058
67483,Rural,Tampa,Kansas,619,Marion,"$62,292",38.54879,-97.17004
67484,Rural,Tescott,Kansas,"1,010",Ottawa,"$50,268",39.00806,-97.8756
67485,Suburban,Tipton,Kansas,322,Osborne,"$41,250",39.339425,-98.470261
67487,Rural,Wakefield,Kansas,"1,227",Clay,"$49,896",39.190937,-97.075406
67490,Suburban,Wilson,Kansas,"1,080",Ellsworth,"$59,531",38.82501,-98.47534
67491,Rural,Windom,Kansas,286,McPherson,"$53,056",38.3839,-97.91005
67492,Suburban,Woodbine,Kansas,197,Dickinson,"$64,444",38.812401,-96.964022
67501,Urban,Hutchinson,Kansas,"24,904",Reno,"$43,069",37.954312,-97.88569
67502,Urban,Hutchinson,Kansas,"23,567",Reno,"$69,085",38.115643,-97.893663
67505,Urban,South Hutchinson,Kansas,"2,811",Reno,"$37,000",38.02807,-97.94033
67510,Rural,Abbyville,Kansas,239,Reno,"$46,250",38.013705,-98.169523
67511,Suburban,Albert,Kansas,208,Rush,"$41,875",38.45279,-99.01148
67512,Rural,Alden,Kansas,276,Rice,"$76,250",38.233295,-98.316515
67513,Rural,Alexander,Kansas,108,Rush,,38.470116,-99.553222
67514,Rural,Arlington,Kansas,783,Reno,"$55,000",37.829877,-98.196898
67515,Rural,Arnold,Kansas,43,Ness,"$82,679",38.64029,-100.04624
67516,Rural,Bazine,Kansas,468,Ness,"$54,327",38.445565,-99.692538
